title,latitude,longitude
Beardsley Hall,39.90667899,-75.35487457
Clothier Hall,39.90430638,-75.35487975
Danawell complex,39.90345637,-75.35725992
Dean Bond Rose garden,39.90583168,-75.35328884
Dinning Center,39.90325873,-75.35364784
Hormel-Nguyen Intercultural Center,39.90391812,-75.35519797
Kyle House,39.90870536,-75.35358003
Lang Music Building,39.90562387,-75.35601829
Makerspace,39.90830606,-75.35425285
Martin Hall ,39.9057298,-75.35554227
McCabe Library,39.9053634,-75.35274135
Parrish Hall,39.905095,-75.35407564
Pearson Hall,39.90690314,-75.35362449
Science Center,39.90693575,-75.35545238
Scott Outdoor Amphitheater,39.90441969,-75.35579161
Singer Hall,39.90733049,-75.35396024
Swarthmore Friends Meeting,39.90744936,-75.35331827
Trotter Hall,39.90637535,-75.3539152
Wharton Hall,39.90373568,-75.35629971
Willets Hall ,39.90593332,-75.35165781
