person_name,group,image
Arthur Hoyt Scott,networked,scott.png
Elizabeth Powell Bond,networked,bond.png
Graceanna Lewis,networked,lewis.png
Humphry Marshall,networked,marshall.png
John Bartram,networked,bartram01.png
John Fothergill,networked,fothergill.png
John Wister,networked,wister.png
Michael Collinson,networked,collinson01.png
Peter Collinson,networked,collinson02.png
Swarthmore College,networked,swat.png
William Bartram,networked,bartram02.png
William Darlington,networked,darlington.png
