relationship_id,person_1,person_2,connection_type,associated_plant,historical_context
r1,Peter Collinson,John Bartram,friends/corresponded ,Witch Hazel,"Bartram’s most regular English correspondent was Peter Collinson, a London Quaker. "
r2,Peter Collinson,Michael Collinson,son,Witch Hazel,"Peter Collinson and his son Michael who lived in London, where as both botanists and merchants, they could arrange for the trade and shipping of plants and seeds to and from the Bartrams."
r3,Samuel C. Palmer,Arthur Hoyt Scott,friends,Various ,"In the early 1920s, he and Arthur Hoyt Scott, a fraternity brother also in the Class of 1895 and an avid gardener, as well as others, started to consider the  development of the Crum Valley as a public garden. In 1925, Palmer submitted a plan to the Board of Managers for the creation of an arboretum on campus. The following year, he took a sabbatical from his teaching to visit and survey gardens and arboretums of Europe and gather plant samples. In 1929, the arboretum became a reality with an endowment created as a memorial to Arthur Hoyt Scott. Palmer served on the Executive Committee to develop the Scott Arboretum."
r4,Humphry Marshall,John Bartram,cousins,Pawpaw,"In 1773, Quaker Humphry Marshall established the second botanical garden in the colonies, after John Bartram, his cousin. "
r5,Humphry Marshall,Peter Collinson,friends/corresponded ,Pawpaw,"Called by some the ""Father of American Dendrology"", Marshall corresponded with Peter Collinson "
r6,Humphry Marshall,John Fothergill,friends/corresponded ,Pawpaw,"Called by some the ""Father of American Dendrology"", Marshall corresponded with Peter Collinson (who we talked about earlier) and John Fothergill (who we will talk about more), both of them in England."
r7,John Fothergill,John Bartram,friends,Dwarf Fothergilla,"In 1762, Fothergill acquired an estate in Essex, outside of London, where he could delve into his botanical interests through a large garden of rare plants sent to him by John Bartram and Humphry Marshall of Pennsylvania, Quaker botanists. "
r8,John Fothergill,Humphry Marshall,friends,Dwarf Fothergilla,"Marshall, in fact, sent Fothergill 44 different specimens. Marshall packed and sent at least ten boxes from Chester County to Fothergill’s estate between 1767 and 1775"
r9,William Darlington,Humphry Marshall,biographer,White Oak,"In the plant sciences, Darlington is known for being Humphry Marshall's biographer and an amateur botanist. He wrote a lot about the plants Marshall placed about his home, as well as about plants in Chester County."
r10,John Bartram,William Bartram,son,Franklinia,"The Bartrams, father and son, who contributed greatly to the Quaker consideration of sustainability. John Bartram and son William lived in Philadelphia. They both traveled and collected plants and seeds, which John used to create his famous garden. "
r11,William Bartram,John Fothergill,funded by,Franklinia,Franklinia is in the tea family. John and William Bartram first observed it in Georgia in October 1765. William Bartram returned several times to that same spot on collecting trips funded by John Fothergill.
r12,Swarthmore College,Elizabeth Powell Bond,Dean,Roses,Elizabeth Powell Bond was the Dean of Women's students at Swarthmore College
r13,Swarthmore College,Graceanna Lewis,Applied,Climbing Aster ,Graceanna Lewis applied to work at Swarthmore College. 
r14,Arthur Hoyt Scott,John Wister,collegues/friends ,Scott Arbortum Founding,Together the two worked to create the plans for the Scott Arbortum
r15,Arthur Hoyt Scott,Edith Wilder Scott,married,Scott Arbortum Founding,"In 1929, after Arthur died, Edith worked to establish the Scott Arboretum at Swarthmore College in her husband's honor."
